case_name,office,aircon,ventilation,exhaust,countTimeMean_onlyFloating
office14_660_0,office14,660.0,0.0,off,1514.0656666666664
office14_660_164_aout,office14,660.0,164.0,a,1168.9003333333335
office14_660_164_bout,office14,660.0,164.0,b,1349.7330000000002
office14_660_246_aout,office14,660.0,246.0,a,1615.4536666666665
office14_660_246_bout,office14,660.0,246.0,b,1220.1670000000001
office14_660_82_aout,office14,660.0,82.0,a,1384.7733333333333
office14_660_82_bout,office14,660.0,82.0,b,1291.2433333333333
office14_960_0,office14,960.0,0.0,off,1508.369
office14_960_164_aout,office14,960.0,164.0,a,1081.189
office14_960_164_bout,office14,960.0,164.0,b,1180.738
office14_960_246_aout,office14,960.0,246.0,a,1605.4150000000002
office14_960_246_bout,office14,960.0,246.0,b,1356.9906666666668
office14_960_82_aout,office14,960.0,82.0,a,1107.5653333333332
office14_960_82_bout,office14,960.0,82.0,b,1520.3270000000002
office15_0_0,office15,0.0,0.0,off,2381.592333333333
office15_0_164_aout,office15,0.0,164.0,a,3397.143666666667
office15_0_164_bout,office15,0.0,164.0,b,2734.5616666666665
office15_0_246_aout,office15,0.0,246.0,a,4004.831
office15_0_246_bout,office15,0.0,246.0,b,2530.4043333333334
office15_0_82_aout,office15,0.0,82.0,a,2804.3543333333337
office15_0_82_bout,office15,0.0,82.0,b,2192.98
office15_360_0,office15,360.0,0.0,off,1830.5246666666665
office15_360_164_aout,office15,360.0,164.0,a,1617.2603333333334
office15_360_164_bout,office15,360.0,164.0,b,1861.3363333333334
office15_360_246_aout,office15,360.0,246.0,a,2107.470333333333
office15_360_246_bout,office15,360.0,246.0,b,1881.2093333333335
office15_360_82_aout,office15,360.0,82.0,a,1299.1403333333333
office15_360_82_bout,office15,360.0,82.0,b,1530.2503333333332
office15_660_0,office15,660.0,0.0,off,1734.434
office15_660_164_aout,office15,660.0,164.0,a,1845.867
office15_660_164_bout,office15,660.0,164.0,b,1741.1073333333334
office15_660_246_aout,office15,660.0,246.0,a,1542.18
office15_660_246_bout,office15,660.0,246.0,b,1567.3706666666665
office15_660_82_aout,office15,660.0,82.0,a,1877.5179999999998
office15_660_82_bout,office15,660.0,82.0,b,1736.323
office15_960_0,office15,960.0,0.0,off,1391.5363333333335
office15_960_164_aout,office15,960.0,164.0,a,1455.6833333333334
office15_960_164_bout,office15,960.0,164.0,b,1491.7930000000001
office15_960_246_aout,office15,960.0,246.0,a,1501.853
office15_960_246_bout,office15,960.0,246.0,b,1494.4986666666668
office15_960_82_aout,office15,960.0,82.0,a,1347.9686666666669
office15_960_82_bout,office15,960.0,82.0,b,1446.1576666666667
office16_0_0,office16,0.0,0.0,off,2647.331333333333
office16_0_164_aout,office16,0.0,164.0,a,2431.2529999999997
office16_0_164_bout,office16,0.0,164.0,b,2518.7756666666664
office16_0_246_aout,office16,0.0,246.0,a,2506.4173333333333
office16_0_246_bout,office16,0.0,246.0,b,2825.736333333333
office16_0_82_aout,office16,0.0,82.0,a,2424.0873333333334
office16_0_82_bout,office16,0.0,82.0,b,2561.475
office16_360_0,office16,360.0,0.0,off,999.0936666666665
office16_360_164_aout,office16,360.0,164.0,a,1486.8786666666665
office16_360_164_bout,office16,360.0,164.0,b,1583.147
office16_360_246_aout,office16,360.0,246.0,a,1383.3790000000001
office16_360_246_bout,office16,360.0,246.0,b,1531.4486666666667
office16_360_82_aout,office16,360.0,82.0,a,1668.1339999999998
office16_360_82_bout,office16,360.0,82.0,b,1643.3546666666666
office16_660_0,office16,660.0,0.0,off,1505.5676666666668
office16_660_164_aout,office16,660.0,164.0,a,1516.6563333333334
office16_660_164_bout,office16,660.0,164.0,b,1335.9103333333335
office16_660_246_aout,office16,660.0,246.0,a,1580.0873333333332
