case_name,office,aircon,ventilation,exhaust,n_from2sec,n_from2sec/S,countTimeMean_sit,countTimeMean_sit2stand
office8_660_246_bout,office8,660.0,246.0,b,6405.8,177.9388888888889,406.62029950083195,2513.520133111481
office8_660_82_aout,office8,660.0,82.0,a,6112.4,169.78888888888886,434.11647254575706,2821.5670549084857
office8_660_82_bout,office8,660.0,82.0,b,6090.6,169.18333333333334,435.7830282861897,2411.1420965058232
office8_960_0,office8,960.0,0.0,off,6315.2,175.42222222222222,477.68119800332784,2193.5257903494175
office8_960_164_aout,office8,960.0,164.0,a,5881.4,163.37222222222223,455.9544093178036,2439.931447587354
office8_960_164_bout,office8,960.0,164.0,b,6174.0,171.5,450.56705490848583,2337.0479201331113
office8_960_246_aout,office8,960.0,246.0,a,6932.2,192.5611111111111,426.04891846921794,2423.3407653910153
office8_960_246_bout,office8,960.0,246.0,b,6616.4,183.7888888888889,476.7321131447587,2758.7054908485857
office8_960_82_aout,office8,960.0,82.0,a,6397.0,177.69444444444443,476.30116472545757,2359.4133111480864
office8_960_82_bout,office8,960.0,82.0,b,6066.8,168.5222222222222,450.60399334442593,2065.242262895175
office9_0_0,office9,0.0,0.0,off,5742.8,159.5222222222222,236.56905158069884,1641.5876871880198
office9_0_164_aout,office9,0.0,164.0,a,5450.8,151.4111111111111,473.0602329450915,2110.080865224626
office9_0_164_bout,office9,0.0,164.0,b,6373.8,177.05,555.7364392678868,2713.1244592346093
office9_0_246_aout,office9,0.0,246.0,a,6838.4,189.9555555555556,378.7777038269551,2304.1357737104827
office9_0_246_bout,office9,0.0,246.0,b,6342.4,176.17777777777778,430.53277870216306,2095.5823627287855
office9_0_82_aout,office9,0.0,82.0,a,5417.0,150.47222222222223,376.08951747088184,1850.6302828618968
office9_0_82_bout,office9,0.0,82.0,b,6309.2,175.25555555555556,411.2269550748752,2282.971381031614
office9_360_0,office9,360.0,0.0,off,6041.8,167.82777777777778,251.98602329450915,1631.0542429284526
